,domain,global_rank,total_visits,bounce_rate,pages_per_visit,avg_visit_duration,oct_rank,nov_rank,dec_rank,oct_visits,nov_visits,dec_visits,visits_change,age_18_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65,top_country_0_code,top_country_0_share,top_country_0_share_change,top_country_1_code,top_country_1_share,top_country_1_share_change,top_country_2_code,top_country_2_share,top_country_2_share_change,top_country_3_code,top_country_3_share,top_country_3_share_change,top_country_4_code,top_country_4_share,top_country_4_share_change
0,byte-trading.com,7277936,0,0.0,0.0,0,5467516,9628760,7277936,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
1,crunchbase.com,7435,9111589,0.5543,2.9857876699391332,146,5721,6054,7435,10489281,10549539,9111589,-0.13630452405870747,0.20521182686953848,0.36840160205454164,0.20960935340789666,0.1180440555475148,0.06371037588595346,0.03502278623455499,US,0.39795546411196864,-0.13638365185049084,IN,0.09417928366707747,-0.110635968890194,GB,0.05230162071197293,-0.2873692972846732,CA,0.03256943020779494,-0.22436635281288653,DE,0.024185912152788064,-0.24834174558572164
2,google.com,1,86429287970,0.2877,8.289799908129233,635,1,1,1,87023594527,85085372857,86429287970,0.01579490184780098,0.23861842557000043,0.30323892505889904,0.1879279252229393,0.12754239048724952,0.08626509758436587,0.05640723607654558,US,0.27036939192675713,0.009898601993960643,IN,0.04511020105389347,0.03355410414094506,BR,0.04388131403341623,-0.008320425886887306,GB,0.03807744975311149,0.0034426518667003414,JP,0.03696319265891413,0.02504671039819706
3,pitchbook.com,18054,2474684,0.3603,7.516650574628902,248,15181,14675,18054,2840358,2974914,2474684,-0.16814932970364777,0.19450404553704798,0.34567403890509263,0.21402568463627616,0.12858719329114432,0.07430017516655608,0.04290886246388305,US,0.48826514532758797,-0.23369800734962687,IN,0.08866687957796864,-0.03218770601438825,GB,0.06659665828304565,-0.1928234827779376,CA,0.03476231168102413,-0.3599059165893421,DE,0.02291392944270491,-0.2836005938779338
4,stripe.com,1062,46952509,0.5317000000000001,4.0038311378093585,224,1131,1080,1062,43224435,45589745,46952509,0.02989190038549152,0.22041486106502156,0.34054369284467956,0.20578505341941894,0.12315718436640173,0.0699775356097052,0.040121672694773264,US,0.2858967381804607,0.07329867531609136,GB,0.08899673343365745,-0.06866747220699354,FR,0.054259409341255393,0.003823860776686505,DE,0.036137604500389886,0.04097127724258698,AU,0.03011427050400654,0.028198424707985392
